origin_name,destination_name,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
Frankfurt,Helsinki,1.0,2782.3416666666667,1.4,2053.374555349575,1.5,2153.2011895569926
Frankfurt,Moscow,1.0,3250.6788125000003,1.8,2814.872470675408,2.0,2608.3431189078874
Munich,Rome,1.0,2297.081125,1.0,1521.93140625,1.0,1151.086130208333
Rome,Venice,1.0,2230.7953125,1.0,1401.09053125,1.0,1158.0750624999998
Munich,London,1.0,2541.1739687500003,1.0,1638.0897589285712,1.0,1460.2772083333336
Frankfurt,Amsterdam,1.0,2327.886875,1.0,1381.8578124999997,1.0,1144.2966473214285
Frankfurt,Munich,1.0,2280.01259375,1.0,1398.4057321428572,1.0,1177.59140625
Amsterdam,Barcelona,1.0,2969.650875,1.0,1970.1154910714288,1.0,1689.12175
London,Venice,1.0,2671.1415,1.0,1810.52625,1.0,1619.396875
Amsterdam,Rome,1.0,2478.22425,1.0,1652.7987053571428,1.0,1465.7455875
Rome,Helsinki,1.0,3037.15365625,1.5,2347.920265316392,1.625,2533.1207168149763
Barcelona,Venice,1.0,2507.981125,1.0,1702.984890625,1.0,1507.15846875
Barcelona,Helsinki,1.0,3511.27525,2.7,3803.907310366909,2.5,4736.99988689382
Amsterdam,Venice,1.0,2490.724625,1.0,1679.3655357142857,1.0,1492.3834874999998
Amsterdam,London,1.0,2526.431958333333,1.0,1388.042151785714,1.0,1131.677428571429
Venice,Helsinki,1.0,3048.49384375,1.5,2347.0156580782823,1.7777777777777777,2702.377211562116
Frankfurt,Venice,1.0,2359.614708333333,1.0,1552.6486071428571,1.0,1262.4139479166668
Rome,Moscow,1.0,3417.6890499999995,2.0,2984.8751587110187,2.0,2717.369929031164
Munich,Barcelona,1.0,2574.5780625,1.0,1761.4798541666669,1.0,1566.8729843749998
Frankfurt,Barcelona,1.0,2682.4106875,1.0,1811.1906458333333,1.0,1584.62434375
Barcelona,Moscow,1.0,3934.38975,2.75,4049.867655470616,2.2,3782.496913489152
Frankfurt,Rome,1.0,2398.0983125,1.0,1533.4531607142856,1.0,1248.6931354166666
London,Rome,1.0,2658.5594375,1.0,1776.9886125,1.0,1583.5552291666663
Munich,Amsterdam,1.0,2360.11546875,1.0,1502.3385892857143,1.0,1295.368107142857
Amsterdam,Helsinki,1.0,2796.4347083333328,1.625,2433.565634828597,1.625,2444.1452860917843
Munich,Moscow,1.0,3339.033890625,1.5714285714285714,2637.005245413005,2.0,2561.340176606272
Amsterdam,Moscow,1.0,3274.326375,2.0,3310.8073281698325,2.0,2770.9818374490933
London,Helsinki,1.0,3032.91546875,2.0,2632.24366438128,2.0,2812.367268061052
Helsinki,Moscow,1.0,2695.4625416666668,1.3333333333333333,2312.214727835685,1.2857142857142858,2068.894620376964
Munich,Helsinki,1.0,2928.8535,1.5,2222.39795682282,1.5,2163.044990142022
London,Barcelona,1.0,2923.034875,1.0,1946.2738020833333,1.0,1615.274151785714
Frankfurt,London,1.0,2506.3161250000003,1.0,1475.633544642857,1.0,1269.24653125
Rome,Barcelona,1.0,2505.2603125,1.0,1671.54746875,1.0,1482.45934375
Venice,Moscow,1.0,3410.1318250000004,2.0,2971.5774899017097,2.0,2699.7061858102093
London,Moscow,1.0,3559.9678125,2.363636363636364,3533.2187553742992,2.0,3199.3138592915457
Munich,Venice,1.0,2299.8078125,1.0,1578.163625,1.0,1153.6212760416668
